Ticker,Company,Price,Change,% Change
AAPL,Apple Inc.,222.38,1.53,0.69
AMD,"Advanced Micro Devices, Inc.",139.44,-1.43,-1.02
AMZN,"Amazon.com, Inc.",177.89,4.56,2.63
BABA,Alibaba Group Holding Limited,82.43,-0.04,-0.05
CRM,"Salesforce, Inc.",246.12,-1.56,-0.63
EA,Electronic Arts Inc.,145.91,-1.17,-0.8
GOOG,Alphabet Inc.,158.6,0.79,0.5
INTC,Intel Corporation,19.4,-0.03,-0.15
META,"Meta Platforms, Inc.",516.86,4.12,0.8
MSFT,Microsoft Corporation,408.39,-0.51,-0.12
MTCH,"Match Group, Inc.",36.51,0.06,0.16
NVDA,NVIDIA Corporation,107.21,1.0,0.94
PYPL,"PayPal Holdings, Inc.",72.03,-0.58,-0.8
TSLA,"Tesla, Inc.",230.17,10.76,4.9
TTD,"The Trade Desk, Inc.",103.54,2.19,2.16
YELP,Yelp Inc.,34.29,0.2,0.59
ZG,"Zillow Group, Inc.",51.97,-0.1,-0.19
